id,diagram_type,source_file,instruction,input,output,text
ex-00001,activity,plantuml_activity_diagram_training.jsonl,"Create a simple PlantUML activity diagram with a start point, one action, and an end point.",,"@startuml
(*) --> ""First Action""
""First Action"" --> (*)
@enduml","Diagram type: activity
Instruction: Create a simple PlantUML activity diagram with a start point, one action, and an end point.
PlantUML output:
@startuml
(*) --> ""First Action""
""First Action"" --> (*)
@enduml"
ex-00002,activity,plantuml_activity_diagram_training.jsonl,Generate a PlantUML activity diagram with two actions connected in sequence from start to end.,,"@startuml
(*) --> ""First Action""
""First Action"" --> ""Second Action""
""Second Action"" --> (*)
@enduml","Diagram type: activity
Instruction: Generate a PlantUML activity diagram with two actions connected in sequence from start to end.
PlantUML output:
@startuml
(*) --> ""First Action""
""First Action"" --> ""Second Action""
""Second Action"" --> (*)
@enduml"
ex-00003,activity,plantuml_activity_diagram_training.jsonl,Create a PlantUML activity diagram with labeled arrows between actions.,,"@startuml
(*) --> ""First Action""
-->[You can put also labels] ""Second Action""
--> (*)
@enduml","Diagram type: activity
Instruction: Create a PlantUML activity diagram with labeled arrows between actions.
PlantUML output:
@startuml
(*) --> ""First Action""
-->[You can put also labels] ""Second Action""
--> (*)
@enduml"
ex-00004,activity,plantuml_activity_diagram_training.jsonl,"Generate a PlantUML activity diagram with arrows going in different directions: up, right, down, and left.",,"@startuml
(*) -up-> ""First Action""
-right-> ""Second Action""
--> ""Third Action""
-left-> (*)
@enduml","Diagram type: activity
Instruction: Generate a PlantUML activity diagram with arrows going in different directions: up, right, down, and left.
PlantUML output:
@startuml
(*) -up-> ""First Action""
-right-> ""Second Action""
--> ""Third Action""
-left-> (*)
@enduml"
ex-00005,activity,plantuml_activity_diagram_training.jsonl,Create a PlantUML activity diagram with an if/then/else branch structure.,,"@startuml
(*) --> ""Initialization""
if ""Some Test"" then
  -->[true] ""Some Action""
  --> ""Another Action""
  -right-> (*)
else
  ->[false] ""Something else""
  -->[Ending process] (*)
endif
@enduml","Diagram type: activity
Instruction: Create a PlantUML activity diagram with an if/then/else branch structure.
PlantUML output:
@startuml
(*) --> ""Initialization""
if ""Some Test"" then
  -->[true] ""Some Action""
  --> ""Another Action""
  -right-> (*)
else
  ->[false] ""Something else""
  -->[Ending process] (*)
endif
@enduml"
ex-00006,activity,plantuml_activity_diagram_training.jsonl,Generate a PlantUML activity diagram with a conditional branch that checks if input is verbose.,,"@startuml
(*) --> ""check input""
If ""input is verbose"" then
  --> [Yes] ""turn on verbosity""
  --> ""run command""
else
  --> ""run command""
Endif
-->(*)
@enduml","Diagram type: activity
Instruction: Generate a PlantUML activity diagram with a conditional branch that checks if input is verbose.
PlantUML output:
@startuml
(*) --> ""check input""
If ""input is verbose"" then
  --> [Yes] ""turn on verbosity""
  --> ""run command""
else
  --> ""run command""
Endif
-->(*)
@enduml"
ex-00007,activity,plantuml_activity_diagram_training.jsonl,Create a PlantUML activity diagram with nested branches and multiple decision points.,,"@startuml
(*) --> if ""Some Test"" then
  -->[true] ""action 1""
  if """" then
    -> ""action 3"" as a3
  else
    if ""Other test"" then
      -left-> ""action 5""
    else
      --> ""action 6""
    endif
  endif
else
  ->[false] ""action 2""
endif
a3 --> if ""last test"" then
  --> ""action 7""
else
  -> ""action 8""
endif
@enduml","Diagram type: activity
Instruction: Create a PlantUML activity diagram with nested branches and multiple decision points.
PlantUML output:
@startuml
(*) --> if ""Some Test"" then
  -->[true] ""action 1""
  if """" then
    -> ""action 3"" as a3
  else
    if ""Other test"" then
      -left-> ""action 5""
    else
      --> ""action 6""
    endif
  endif
else
  ->[false] ""action 2""
endif
a3 --> if ""last test"" then
  --> ""action 7""
else
  -> ""action 8""
endif
@enduml"
ex-00008,activity,plantuml_activity_diagram_training.jsonl,Generate a PlantUML activity diagram showing parallel actions with synchronization bars.,,"@startuml
(*) --> ===B1===
--> ""Parallel Action 1""
--> ===B2===
===B1=== --> ""Parallel Action 2""
--> ===B2===
--> (*)
@enduml","Diagram type: activity
Instruction: Generate a PlantUML activity diagram showing parallel actions with synchronization bars.
PlantUML output:
@startuml
(*) --> ===B1===
--> ""Parallel Action 1""
--> ===B2===
===B1=== --> ""Parallel Action 2""
--> ===B2===
--> (*)
@enduml"
ex-00009,activity,plantuml_activity_diagram_training.jsonl,Create a PlantUML activity diagram with a multi-line action description and an alias.,,"@startuml
(*) -left-> ""this <size:20>action</size>
is <b>very</b> <color:red>long2</color>
and defined on several lines
that contains many <i>text</i>"" as A1
-up-> ""Another action\n on several lines""
A1 --> ""Short action <img:sourceforge.jpg>""
@enduml","Diagram type: activity
Instruction: Create a PlantUML activity diagram with a multi-line action description and an alias.
PlantUML output:
@startuml
(*) -left-> ""this <size:20>action</size>
is <b>very</b> <color:red>long2</color>
and defined on several lines
that contains many <i>text</i>"" as A1
-up-> ""Another action\n on several lines""
A1 --> ""Short action <img:sourceforge.jpg>""
@enduml"
ex-00010,activity,plantuml_activity_diagram_training.jsonl,Generate a PlantUML activity diagram with notes attached to actions.,,"@startuml
(*) --> ""Some action""
note right: This action has to be defined
""Some action"" --> (*)
note left
  This note is on
  several lines
end note
@enduml","Diagram type: activity
Instruction: Generate a PlantUML activity diagram with notes attached to actions.
PlantUML output:
@startuml
(*) --> ""Some action""
note right: This action has to be defined
""Some action"" --> (*)
note left
  This note is on
  several lines
end note
@enduml"
